table_name,stage_created,purpose,grain,primary_or_unique_key,row_count_expected,row_count_observed,main_inputs,main_outputs,retention_role
raw_gpad_jan_26,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1047297,1047297,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_jul_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1028563,1028563,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_jun_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1003669,1003669,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_apr_26,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6181,6181,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_dec_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6186,6186,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_feb_26,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6182,6182,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_jun_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6215,6215,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_sep_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6190,6190,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mar_26_london_east_south,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,384919,384919,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mar_26_midlands_north,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,671155,671155,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_may_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,991897,991897,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_nov_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1038177,1038177,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_oct_25_london_east_south,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,393770,393770,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_oct_25_midlands_north,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,696049,696049,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_sep_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1032465,1032465,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_ocs_north,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,532746,532746,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_ocs_south,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,525699,525699,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_online_consultation_activity_all,2,Text-preserving staging table for one frozen manifest input.,Source detail row,View; inherited from query,Derived; see creating SQL and validation rule,1058445,"21 raw OCS, GPAD and mapping tables",standardised_online_consultation_activity; standardised_appointment_activity; standardised_practice_mapping_reference,Raw staging
raw_source_row_count_validation,3,Materialised validation or audit evidence defined by the creating SQL stage.,Source detail row,raw_table,Derived; see creating SQL and validation rule,21,standardised_online_consultation_activity; standardised_appointment_activity,raw/source/month/numeric/duplicate validation tables,Validation/provenance evidence
registered_population_by_practice_month,4,One month-matched registered-list denominator per practice-month.,Practice code x reporting month,practice_code_standardised + reporting_month,74195,74195,standardised_online_consultation_activity; standardised_practice_mapping_reference,registered_population_by_practice_month; denominator and identifier-reference audits,Validation/provenance evidence
registered_population_conflict_audit,4,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,1,standardised_online_consultation_activity; standardised_practice_mapping_reference,registered_population_by_practice_month; denominator and identifier-reference audits,Validation/provenance evidence
source_detail_duplicate_audit,3,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,0,standardised_online_consultation_activity; standardised_appointment_activity,raw/source/month/numeric/duplicate validation tables,Validation/provenance evidence
source_month_validation,3,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,24,standardised_online_consultation_activity; standardised_appointment_activity,raw/source/month/numeric/duplicate validation tables,Validation/provenance evidence
source_reconciliation_summary,11,Reconcile totals within the same source or category family.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,4,"raw, intermediate, annual and final tables","pipeline_validation_results; reconciliation, missingness and range summaries",Validation/provenance evidence
standardised_appointment_activity,2,"Validated, standardised GPAD appointment-detail evidence.",Source detail row,None declared; uniqueness audited separately,12305536,12305536,"21 raw OCS, GPAD and mapping tables",standardised_online_consultation_activity; standardised_appointment_activity; standardised_practice_mapping_reference,Intermediate analytical table
standardised_online_consultation_activity,2,"Validated, standardised OCS detail retaining source provenance.",Source detail row,None declared; uniqueness audited separately,667755,667755,"21 raw OCS, GPAD and mapping tables",standardised_online_consultation_activity; standardised_appointment_activity; standardised_practice_mapping_reference,Intermediate analytical table
